"#","Name","Symbol","Market Cap","Price","Circulating Supply","Volume (24h)","% 1h","% 24h","% 7d","URLS"
42,"Ardor","ARDR","$333,903,593","0.334238","998999495","$46,626,300","0.31%","23.50%","24.90%","https://coinmarketcap.com/currencies/ardor/"
43,"Maker","MKR","$331,151,850","535.65","618228","$83,968","1.23%","2.10%","-9.55%","https://coinmarketcap.com/currencies/maker/"
44,"Decred","DCR","$324,833,549","46.00","7061768","$669,288","-1.24%","3.71%","-1.41%","https://coinmarketcap.com/currencies/decred/"
45,"0x","ZRX","$304,406,461","0.583286","521881995","$9,974,460","0.74%","6.04%","-6.67%","https://coinmarketcap.com/currencies/0x/"
46,"Komodo","KMD","$299,193,594","2.88","104038749","$5,185,710","0.30%","0.82%","4.40%","https://coinmarketcap.com/currencies/komodo/"
47,"Zilliqa","ZIL","$297,635,634","0.044970","6618552286","$14,284,600","0.03%","-2.92%","-5.79%","https://coinmarketcap.com/currencies/zilliqa/"
48,"Augur","REP","$290,819,100","26.44","11000000","$8,766,780","-0.24%","-3.20%","-20.85%","https://coinmarketcap.com/currencies/augur/"
49,"Waltonchain","WTC","$261,615,116","10.51","24898178","$10,740,300","0.58%","1.26%","-21.72%","https://coinmarketcap.com/currencies/waltonchain/"
50,"Aion","AION","$246,014,187","2.13","115319871","$8,771,440","-0.69%","1.28%","-12.98%","https://coinmarketcap.com/currencies/aion/"
51,"IOStoken","IOST","$242,835,600","0.028909","8400000000","$78,193,200","2.26%","17.32%","16.47%","https://coinmarketcap.com/currencies/iostoken/"
52,"Veritaseum","VERI","$242,474,860","119.06","2036645","$433,337","-2.25%","-4.41%","-21.35%","https://coinmarketcap.com/currencies/veritaseum/"
53,"Hshare","HSR","$241,003,214","5.63","42820047","$14,253,700","-0.38%","-3.36%","-9.08%","https://coinmarketcap.com/currencies/hshare/"
54,"Ark","ARK","$237,912,500","2.34","101671574","$3,763,780","2.03%","0.78%","-6.73%","https://coinmarketcap.com/currencies/ark/"
55,"PIVX","PIVX","$232,597,759","4.16","55907278","$4,925,150","-0.09%","0.83%","-5.96%","https://coinmarketcap.com/currencies/pivx/"
56,"Loopring","LRC","$230,357,627","0.402671","572074043","$6,489,070","0.94%","2.42%","-5.77%","https://coinmarketcap.com/currencies/loopring/"
57,"Cryptonex","CNX","$225,973,473","5.00","45195508","$1,296,830","-2.34%","-1.43%","-7.86%","https://coinmarketcap.com/currencies/cryptonex/"
58,"KuCoin Shares","KCS","$218,486,995","2.40","91043076","$537,795","-0.27%","0.53%","-6.89%","https://coinmarketcap.com/currencies/kucoin-shares/"
59,"QASH","QASH","$214,930,100","0.614086","350000000","$4,186,300","0.09%","1.00%","-1.62%","https://coinmarketcap.com/currencies/qash/"
60,"Basic Attenti...","BAT","$209,864,000","0.209864","1000000000","$10,301,100","0.97%","-0.62%","-6.54%","https://coinmarketcap.com/currencies/basic-attention-token/"
61,"MonaCoin","MONA","$202,686,757","3.46","58531775","$2,944,070","-1.06%","-2.51%","0.36%","https://coinmarketcap.com/currencies/monacoin/"
62,"DigiByte","DGB","$201,019,968","0.019969","10066702441","$2,785,640","-0.62%","5.36%","-6.50%","https://coinmarketcap.com/currencies/digibyte/"
63,"Dragonchain","DRGN","$193,898,073","0.813256","238421940","$5,561,250","1.85%","30.49%","9.39%","https://coinmarketcap.com/currencies/dragonchain/"
64,"Factom","FCT","$182,246,177","20.84","8745102","$748,759","-0.63%","-1.58%","-13.78%","https://coinmarketcap.com/currencies/factom/"
65,"Golem","GNT","$178,456,984","0.213910","834262000","$6,121,480","0.26%","1.24%","-11.53%","https://coinmarketcap.com/currencies/golem-network-tokens/"
66,"Nebulas","NAS","$169,594,150","4.78","35500000","$6,602,000","-0.16%","-5.17%","-24.21%","https://coinmarketcap.com/currencies/nebulas-token/"
67,"GXChain","GXS","$164,171,400","2.74","60000000","$909,251","0.00%","-0.03%","-2.89%","https://coinmarketcap.com/currencies/gxchain/"
68,"Gas","GAS","$163,701,389","16.34","10015809","$4,325,920","-0.65%","0.25%","-14.01%","https://coinmarketcap.com/currencies/gas/"
69," Ethos","ETHOS","$160,583,764","2.11","76083332","$5,875,620","-1.10%","-1.12%","-22.03%","https://coinmarketcap.com/currencies/ethos/"
70,"Syscoin","SYS","$157,307,464","0.295660","532055279","$2,664,200","-0.20%","2.95%","-12.34%","https://coinmarketcap.com/currencies/syscoin/"
71,"Revain","R","$150,526,325","0.816082","184450000","$3,988,540","-0.25%","-4.63%","-6.42%","https://coinmarketcap.com/currencies/revain/"
72,"Electroneum","ETN","$147,431,889","0.022294","6612985773","$1,621,050","0.27%","12.34%","-11.23%","https://coinmarketcap.com/currencies/electroneum/"
73,"FunFair","FUN","$146,272,369","0.031763","4605074689","$1,171,130","0.12%","-0.26%","-13.90%","https://coinmarketcap.com/currencies/funfair/"
74,"aelf","ELF","$141,314,250","0.565257","250000000","$27,127,100","0.69%","3.43%","-9.37%","https://coinmarketcap.com/currencies/aelf/"
75,"ZCoin","XZC","$136,837,572","30.74","4451667","$842,667","-0.75%","0.62%","-8.13%","https://coinmarketcap.com/currencies/zcoin/"
76,"Kyber Network","KNC","$136,019,944","1.01","134132697","$4,676,050","-0.12%","-0.51%","-14.53%","https://coinmarketcap.com/currencies/kyber-network/"
77,"ReddCoin","RDD","$131,476,629","0.004564","28808713174","$6,230,200","1.16%","6.55%","1.04%","https://coinmarketcap.com/currencies/reddcoin/"
78,"Power Ledger","POWR","$130,425,926","0.358379","363932947","$25,482,600","0.87%","0.27%","3.99%","https://coinmarketcap.com/currencies/power-ledger/"
79,"Kin","KIN","$129,638,220","0.000171","756097560976","$313,504","2.02%","-0.54%","-4.50%","https://coinmarketcap.com/currencies/kin/"
80,"Substratum","SUB","$129,633,177","0.367315","352921000","$4,258,540","0.05%","-0.40%","-9.27%","https://coinmarketcap.com/currencies/substratum/"
81,"Storm","STORM","$129,092,041","0.031572","4088853037","$43,256,400","-0.31%","-3.18%","-21.08%","https://coinmarketcap.com/currencies/storm/"
82,"Nxt","NXT","$127,049,816","0.127177","998999942","$3,150,320","-0.33%","2.10%","-2.88%","https://coinmarketcap.com/currencies/nxt/"
83,"SALT","SALT","$126,008,463","2.24","56193571","$6,540,230","0.81%","4.32%","-14.68%","https://coinmarketcap.com/currencies/salt/"
84,"Dent","DENT","$123,523,973","0.011637","10614760961","$1,058,690","0.66%","6.21%","11.90%","https://coinmarketcap.com/currencies/dent/"
85,"Byteball Bytes","GBYTE","$122,243,770","189.46","645222","$86,326","0.00%","4.95%","-2.12%","https://coinmarketcap.com/currencies/byteball/"
86,"MaidSafeCoin","MAID","$121,523,447","0.268529","452552412","$1,149,960","-0.73%","1.07%","1.08%","https://coinmarketcap.com/currencies/maidsafecoin/"
87,"Mithril","MITH","$114,376,444","0.380750","300397751","$11,833,900","1.43%","-5.58%","-4.97%","https://coinmarketcap.com/currencies/mithril/"
88,"Storj","STORJ","$113,813,413","0.853011","133425493","$22,610,600","0.82%","-0.62%","14.67%","https://coinmarketcap.com/currencies/storj/"
89,"Nucleus Vision","NCASH","$111,276,686","0.027739","4011517436","$10,152,600","-2.20%","0.06%","-11.80%","https://coinmarketcap.com/currencies/nucleus-vision/"
90,"Enigma","ENG","$110,706,645","1.48","74836171","$6,733,430","-0.15%","-5.82%","-10.76%","https://coinmarketcap.com/currencies/enigma-project/"
91,"Dentacoin","DCN","$106,858,082","0.000329","325226613094","$96,032","0.16%","11.98%","-2.89%","https://coinmarketcap.com/currencies/dentacoin/"
92,"Request Network","REQ","$106,834,906","0.161148","662961414","$3,531,280","-0.68%","0.69%","-26.20%","https://coinmarketcap.com/currencies/request-network/"
93,"Skycoin","SKY","$105,330,630","13.56","7766371","$453,739","-1.40%","-0.47%","35.66%","https://coinmarketcap.com/currencies/skycoin/"
94,"ChainLink","LINK","$104,525,750","0.298645","350000000","$8,251,290","0.12%","3.39%","-13.82%","https://coinmarketcap.com/currencies/chainlink/"
95,"Bancor","BNT","$103,582,112","2.31","44802533","$4,953,900","-0.15%","1.63%","-9.24%","https://coinmarketcap.com/currencies/bancor/"
96,"Emercoin","EMC","$101,930,762","2.45","41550631","$694,511","0.34%","0.70%","-15.76%","https://coinmarketcap.com/currencies/emercoin/"
97,"Cindicator","CND","$101,896,669","0.070469","1445976590","$4,964,500","-1.89%","8.63%","-1.66%","https://coinmarketcap.com/currencies/cindicator/"
98,"Neblio","NEBL","$101,318,221","7.81","12967869","$10,263,500","-1.03%","-5.28%","-20.18%","https://coinmarketcap.com/currencies/neblio/"
99,"WAX","WAX","$99,969,449","0.161515","618948388","$4,542,550","0.18%","4.87%","6.26%","https://coinmarketcap.com/currencies/wax/"
100,"TenX","PAY","$99,663,314","0.952246","104661310","$4,759,150","-0.38%","0.46%","-9.15%","https://coinmarketcap.com/currencies/tenx/"
101,"Genaro Network","GNX","$96,264,966","0.403452","238603268","$4,398,420","-0.08%","1.33%","6.93%","https://coinmarketcap.com/currencies/genaro-network/"
102,"Particl","PART","$93,514,047","10.49","8917055","$205,059","-0.20%","0.60%","-1.65%","https://coinmarketcap.com/currencies/particl/"
103,"Dropil","DROP","$92,697,708","0.005110","18139954642","$82,286","-1.43%","-3.29%","-22.15%","https://coinmarketcap.com/currencies/dropil/"
104,"Achain","ACT","$92,409,890","0.199515","463172645","$7,287,660","-1.93%","-1.26%","3.57%","https://coinmarketcap.com/currencies/achain/"
105,"Vertcoin","VTC","$90,930,923","2.08","43628275","$2,556,860","1.98%","3.65%","8.17%","https://coinmarketcap.com/currencies/vertcoin/"
106,"Polymath","POLY","$90,406,226","0.376693","239999750","$402,097","0.59%","5.93%","-3.19%","https://coinmarketcap.com/currencies/polymath-network/"
107,"Nexus","NXS","$86,490,130","1.53","56523955","$745,655","0.41%","-1.37%","-3.34%","https://coinmarketcap.com/currencies/nexus/"
108,"Metal","MTL","$85,333,467","3.82","22342464","$21,508,100","0.25%","-0.14%","-14.23%","https://coinmarketcap.com/currencies/metal/"
109,"Credits","CS","$85,315,805","0.624703","136570186","$2,216,130","0.40%","-1.41%","-6.84%","https://coinmarketcap.com/currencies/credits/"
110,"Matrix AI Net...","MAN","$82,830,600","0.552204","150000000","$237,015","0.98%","3.58%","-16.57%","https://coinmarketcap.com/currencies/matrix-ai-network/"
111,"MinexCoin","MNX","$81,972,464","22.95","3571832","$92,887","-0.68%","0.82%","-10.78%","https://coinmarketcap.com/currencies/minexcoin/"
112,"Nuls","NULS","$81,248,000","2.03","40000000","$8,905,090","-0.44%","-1.55%","-21.15%","https://coinmarketcap.com/currencies/nuls/"
113,"Iconomi","ICN","$81,204,697","0.814199","99735687","$846,980","0.16%","5.76%","-13.38%","https://coinmarketcap.com/currencies/iconomi/"
114,"Decentraland","MANA","$77,811,180","0.074096","1050141509","$5,912,640","1.73%","2.41%","-9.60%","https://coinmarketcap.com/currencies/decentraland/"
115,"Enjin Coin","ENJ","$77,473,438","0.102452","756192535","$7,283,620","-0.04%","1.52%","-19.80%","https://coinmarketcap.com/currencies/enjin-coin/"
116,"Civic","CVC","$76,428,261","0.223018","342699966","$5,494,040","0.44%","4.40%","-7.69%","https://coinmarketcap.com/currencies/civic/"
117,"Monaco","MCO","$75,116,558","5.69","13205542","$16,752,300","0.64%","12.91%","0.58%","https://coinmarketcap.com/currencies/monaco/"
118,"SmartCash","SMART","$74,644,790","0.087559","852511398","$88,782","-0.16%","13.83%","-2.25%","https://coinmarketcap.com/currencies/smartcash/"
119,"Blocknet","BLOCK","$74,104,942","14.58","5083306","$1,011,910","-0.97%","-1.96%","-10.28%","https://coinmarketcap.com/currencies/blocknet/"
120,"Gnosis","GNO","$73,344,555","66.40","1104590","$801,845","0.34%","12.31%","-1.41%","https://coinmarketcap.com/currencies/gnosis-gno/"
121,"GameCredits","GAME","$72,683,578","1.13","64355352","$189,069","-0.24%","-0.72%","-6.76%","https://coinmarketcap.com/currencies/gamecredits/"
122,"Genesis Vision","GVT","$72,611,108","19.48","3726781","$10,596,800","-1.06%","-6.64%","-19.87%","https://coinmarketcap.com/currencies/genesis-vision/"
123,"POA Network","POA","$72,350,328","0.354916","203851975","$2,028,690","-0.10%","-4.74%","-14.19%","https://coinmarketcap.com/currencies/poa-network/"
124,"iExec RLC","RLC","$71,898,288","0.897934","80070793","$1,848,550","-0.40%","0.94%","-10.51%","https://coinmarketcap.com/currencies/rlc/"
125,"ZenCash","ZEN","$71,888,070","20.20","3558763","$1,316,880","-1.86%","-4.43%","17.57%","https://coinmarketcap.com/currencies/zencash/"
126,"Cube","AUTO","$71,667,345","0.011421","6274940000","$1,475,490","-0.61%","-1.50%","-17.95%","https://coinmarketcap.com/currencies/cube/"
127,"Bitcore","BTX","$69,514,051","5.20","13356349","$1,583,030","-0.71%","-7.48%","-17.58%","https://coinmarketcap.com/currencies/bitcore/"
128,"Dynamic Tradi...","DTR","$69,127,620","0.058128","1189228953","$41,302","0.09%","-2.74%","-6.77%","https://coinmarketcap.com/currencies/dynamic-trading-rights/"
129,"Quantstamp","QSP","$68,170,004","0.110430","617314171","$5,379,240","-0.34%","4.19%","-10.84%","https://coinmarketcap.com/currencies/quantstamp/"
130,"Theta Token","THETA","$67,878,389","0.115423","588083732","$7,693,750","-0.55%","-0.31%","-12.59%","https://coinmarketcap.com/currencies/theta-token/"
131,"SingularityNET","AGI","$67,341,759","0.125307","537414184","$213,029","-0.83%","1.60%","-14.14%","https://coinmarketcap.com/currencies/singularitynet/"
132,"Raiden Networ...","RDN","$67,169,683","1.34","50168936","$5,654,800","-0.49%","1.69%","-12.28%","https://coinmarketcap.com/currencies/raiden-network-token/"
133,"BitcoinDark","BTCD","$66,303,840","51.44","1288862","$207,091","-0.13%","5.42%","-24.35%","https://coinmarketcap.com/currencies/bitcoindark/"
134,"Ignis","IGNIS","$66,212,521","0.086991","761143950","$4,891,420","0.27%","8.71%","-1.00%","https://coinmarketcap.com/currencies/ignis/"
135,"PayPie","PPP","$65,342,475","0.792030","82500000","$59,633","2.50%","5.45%","14.13%","https://coinmarketcap.com/currencies/paypie/"
136,"Santiment Net...","SAN","$65,314,038","1.04","62660371","$2,002,430","-0.42%","5.23%","-11.77%","https://coinmarketcap.com/currencies/santiment/"
137,"Aragon","ANT","$65,071,120","2.47","26356214","$1,022,010","-0.99%","1.39%","-25.71%","https://coinmarketcap.com/currencies/aragon/"
138,"Oyster","PRL","$64,802,523","0.831154","77966926","$1,015,560","-0.01%","-10.12%","-16.90%","https://coinmarketcap.com/currencies/oyster/"
139,"Time New Bank","TNB","$64,043,854","0.028318","2261619182","$2,846,410","-0.47%","-1.32%","-15.69%","https://coinmarketcap.com/currencies/time-new-bank/"
140,"Po.et","POE","$62,267,299","0.027589","2256920162","$1,612,680","-0.54%","-0.20%","-14.68%","https://coinmarketcap.com/currencies/poet/"
141,"DeepBrain Chain","DBC","$61,288,200","0.040859","1500000000","$2,814,650","-0.15%","-1.73%","-1.04%","https://coinmarketcap.com/currencies/deepbrain-chain/"
142,"Fusion","FSN","$60,566,976","2.19","27648200","$476,540","-0.74%","7.89%","-1.01%","https://coinmarketcap.com/currencies/fusion/"
143,"SIRIN LABS Token","SRN","$59,876,236","0.261174","229258029","$9,125,380","3.29%","9.87%","-10.50%","https://coinmarketcap.com/currencies/sirin-labs-token/"
144,"Ubiq","UBQ","$59,706,784","1.48","40258640","$293,466","-1.29%","5.53%","-14.29%","https://coinmarketcap.com/currencies/ubiq/"
145,"DigitalNote","XDN","$58,415,997","0.008468","6898448948","$7,013,070","1.58%","21.15%","5.63%","https://coinmarketcap.com/currencies/digitalnote/"
146,"NavCoin","NAV","$55,797,984","0.890500","62659162","$600,500","0.34%","1.92%","-16.29%","https://coinmarketcap.com/currencies/nav-coin/"
147,"DEW","DEW","$55,168,830","0.534351","103244553","$30,552","0.14%","0.28%","-8.14%","https://coinmarketcap.com/currencies/dew/"
148,"THEKEY","TKY","$54,306,121","0.014941","3634728910","$692,415","-0.04%","3.23%","5.00%","https://coinmarketcap.com/currencies/thekey/"
149,"BOScoin","BOS","$53,484,575","0.123202","434121000","$133,053","-2.47%","6.04%","6.61%","https://coinmarketcap.com/currencies/boscoin/"
150,"Arcblock","ABT","$51,718,727","0.555633","93080732","$15,239,400","-0.27%","-1.71%","-12.11%","https://coinmarketcap.com/currencies/arcblock/"
151,"Groestlcoin","GRS","$51,448,116","0.737492","69760914","$100,613,000","7.77%","8.62%","98.89%","https://coinmarketcap.com/currencies/groestlcoin/"
152,"Asch","XAS","$50,607,645","0.542097","93355331","$775,536","0.19%","2.53%","-6.27%","https://coinmarketcap.com/currencies/asch/"
153,"Eidoo","EDO","$50,214,716","1.72","29261461","$8,097,580","-0.03%","1.90%","8.18%","https://coinmarketcap.com/currencies/eidoo/"
154,"Bluzelle","BLZ","$49,977,015","0.302891","165000000","$4,294,460","-0.06%","-0.62%","-8.53%","https://coinmarketcap.com/currencies/bluzelle/"
155,"High Performa...","HPB","$49,669,430","2.24","22216600","$4,598,030","-4.86%","29.89%","-11.22%","https://coinmarketcap.com/currencies/high-performance-blockchain/"
156,"Pillar","PLR","$49,541,918","0.217877","227384800","$198,890","0.17%","-11.30%","-42.22%","https://coinmarketcap.com/currencies/pillar/"
157,"Gifto","GTO","$49,444,543","0.181220","272842639","$1,492,680","-0.45%","-2.32%","-19.06%","https://coinmarketcap.com/currencies/gifto/"
158,"BridgeCoin","BCO","$48,656,160","1.80","27000000","$69,905","-10.38%","-0.89%","-8.91%","https://coinmarketcap.com/currencies/bridgecoin/"
159,"Envion","EVN","$48,524,138","0.451420","107492220","$92,068","-0.48%","3.04%","-7.27%","https://coinmarketcap.com/currencies/envion/"
160,"ETHLend","LEND","$48,519,945","0.044672","1086132884","$1,055,790","0.12%","0.24%","-15.14%","https://coinmarketcap.com/currencies/ethlend/"
161,"MediBloc","MED","$48,043,854","0.016196","2966384100","$499,356","0.10%","2.88%","-5.16%","https://coinmarketcap.com/currencies/medibloc/"
162,"Bibox Token","BIX","$47,913,308","0.452362","105918066","$456,192","-0.15%","4.66%","-16.65%","https://coinmarketcap.com/currencies/bibox-token/"
163,"Quantum Resis...","QRL","$47,547,760","0.914380","52000000","$358,426","-0.72%","3.96%","7.10%","https://coinmarketcap.com/currencies/quantum-resistant-ledger/"
164,"BLOCKv","VEE","$47,240,755","0.030847","1531433921","$403,953","-0.22%","1.70%","-14.67%","https://coinmarketcap.com/currencies/blockv/"
165,"Paypex","PAYX","$47,030,948","0.687299","68428658","$20,010","0.17%","36.29%","230.19%","https://coinmarketcap.com/currencies/paypex/"
166,"AdEx","ADX","$46,958,860","0.639499","73430701","$6,757,660","1.43%","1.12%","-10.38%","https://coinmarketcap.com/currencies/adx-net/"
167,"Einsteinium","EMC2","$46,548,316","0.214777","216728590","$17,022,400","0.19%","2.09%","17.71%","https://coinmarketcap.com/currencies/einsteinium/"
168,"Telcoin","TEL","$46,421,518","0.001630","28480157544","$397,272","-0.83%","-4.65%","-26.75%","https://coinmarketcap.com/currencies/telcoin/"
169,"CyberMiles","CMT","$45,792,152","0.076301","600149827","$10,395,400","0.18%","-5.04%","-24.00%","https://coinmarketcap.com/currencies/cybermiles/"
170,"ION","ION","$45,460,522","2.22","20510233","$492,056","-0.44%","1.38%","-3.12%","https://coinmarketcap.com/currencies/ion/"
171,"Scry.info","DDD","$45,387,216","0.151262","300056960","$107,400","0.41%","1.99%","-4.99%","https://coinmarketcap.com/currencies/scryinfo/"
172,"SmartMesh","SMT","$45,228,897","0.031993","1413716694","$4,934,800","-0.86%","-3.27%","2.85%","https://coinmarketcap.com/currencies/smartmesh/"
173,"SaluS","SLS","$44,630,556","44.18","1010303","$2,610,060","-0.88%","-0.28%","-8.09%","https://coinmarketcap.com/currencies/salus/"
174,"Loom Network","LOOM","$44,427,251","0.104305","425935968","$277,080","0.60%","1.89%","-9.96%","https://coinmarketcap.com/currencies/loom-network/"
175,"Experience Po...","XP","$44,405,119","0.000200","222464961712","$103,122","0.05%","10.54%","-9.41%","https://coinmarketcap.com/currencies/experience-points/"
176,"Ripio Credit ...","RCN","$44,033,953","0.090043","489033040","$5,530,880","1.40%","5.12%","-5.86%","https://coinmarketcap.com/currencies/ripio-credit-network/"
177,"Ruff","RUFF","$44,012,118","0.052912","831800000","$6,507,290","1.41%","-1.68%","-8.73%","https://coinmarketcap.com/currencies/ruff/"
178,"CRYPTO20","C20","$43,222,831","1.09","39565405","$1,318,640","0.02%","1.13%","-8.14%","https://coinmarketcap.com/currencies/c20/"
179,"OST","OST","$42,631,953","0.147763","288515753","$3,159,700","1.49%","3.58%","-10.53%","https://coinmarketcap.com/currencies/ost/"
180,"Edgeless","EDG","$42,278,703","0.515303","82046297","$917,062","-0.18%","-0.71%","-24.52%","https://coinmarketcap.com/currencies/edgeless/"
181,"DATA","DTA","$41,986,344","0.009099","4614477298","$7,225,910","0.06%","3.83%","-7.03%","https://coinmarketcap.com/currencies/data/"
182,"SophiaTX","SPHTX","$41,799,706","0.217961","191776081","$114,905","0.46%","-0.06%","-20.69%","https://coinmarketcap.com/currencies/sophiatx/"
183,"Peercoin","PPC","$41,313,814","1.67","24691350","$344,793","0.09%","2.13%","-6.60%","https://coinmarketcap.com/currencies/peercoin/"
184,"Ambrosus","AMB","$41,112,419","0.284336","144590975","$1,084,180","-0.03%","-1.43%","-4.60%","https://coinmarketcap.com/currencies/amber/"
185,"Pura","PURA","$41,068,922","0.236954","173320229","$101,668","-6.39%","0.95%","-33.07%","https://coinmarketcap.com/currencies/pura/"
